id,sender,receiver,amount
1,Alice,Bob,50
2,Charlie,Dave,1500
3,Eve,Frank,200
4,Grace,Hank,5000
5,Ivy,Jack,100
6,Karen,Leo,300
7,Mike,Nina,2500
8,Olivia,Paul,150
9,Quinn,Rachel,800
10,Sam,Tina,1200
11,Uma,Victor,75
12,Wendy,Xander,450
13,Yolanda,Zach,3000
14,Aaron,Bella,250
15,Clara,Derek,950
16,Ethan,Fiona,1800
17,Gina,Hugo,400
18,Ian,Julia,600
19,Kara,Liam,2200
20,Mia,Noah,180
21,Oscar,Penny,750
22,Rita,Quentin,1100
23,Steve,Rosa,350
24,Tara,Sean,500
25,Ursula,Tom,2800
26,Vince,Uma,125
27,Wanda,Vlad,900
28,Xena,Will,1600
29,Yuri,Xena,275
30,Zoe,Yuri,4500
